,city,lat,lng,country,population,id
1685,Tirana,41.3272,19.8186,Albania,418495.0,1008162156
1590,Constantine,36.35,6.6,Algeria,448374.0,1012275076
354,Algiers,36.7325,3.0872,Algeria,2364230.0,1012973369
362,Baku,40.3667,49.8352,Azerbaijan,2300500.0,1031946365
375,Vienna,48.2083,16.3725,Austria,2223236.0,1040261752
676,Yerevan,40.1814,44.5144,Armenia,1106300.0,1051074169
1287,Antwerp,51.2178,4.4003,Belgium,565039.0,1056168623
598,Brussels,50.8467,4.3525,Belgium,1249597.0,1056469830
543,Sofia,42.6979,23.3217,Bulgaria,1404116.0,1100762037
1971,Varna,43.2114,27.9111,Bulgaria,350745.0,1100789115
1914,Hrodna,53.6667,23.8333,Belarus,361115.0,1112187197
417,Minsk,53.9006,27.5586,Belarus,1992862.0,1112348503
1934,Vitsyebsk,55.1917,30.2056,Belarus,358395.0,1112480679
1958,Mahilyow,53.9167,30.35,Belarus,353110.0,1112518993
1429,Homyel’,52.4453,30.9842,Belarus,501102.0,1112580227
955,Zagreb,45.8131,15.9772,Croatia,767131.0,1191233290
1763,Brno,49.1925,16.6083,Czechia,400566.0,1203676514
546,Prague,50.0875,14.4214,Czechia,1384732.0,1203744823
548,Copenhagen,55.6805,12.5615,Denmark,1366301.0,1208763942
1145,Tallinn,59.4372,24.7453,Estonia,638076.0,1233260021
551,Helsinki,60.1708,24.9375,Finland,1360075.0,1246177997
35,Paris,48.8567,2.3522,France,11060000.0,1250015082
1386,Lyon,45.76,4.84,France,520774.0,1250196189
1409,Toulouse,43.6045,1.444,France,511684.0,1250258110
748,Bordeaux,44.84,-0.58,France,994920.0,1250449238
855,Marseille,43.2964,5.37,France,877215.0,1250774071
1955,Nice,43.7034,7.2663,France,353701.0,1250774553
671,Tbilisi,41.7225,44.7925,Georgia,1118035.0,1268203191
1928,Wuppertal,51.2667,7.1833,Germany,358938.0,1276004611
687,Cologne,50.9364,6.9528,Germany,1087353.0,1276015998
